price,year,condition,odometer,car_age
28995,2017.0,3,42165.0,4.0
16995,2017.0,3,20034.0,4.0
41995,2020.0,3,1243.0,1.0
2500,1999.0,0,178000.0,22.0
13850,2008.0,3,132008.0,13.0
11900,2006.0,3,55500.0,15.0
11950,2012.0,3,101627.0,9.0
10950,2012.0,3,122588.0,9.0
9850,2009.0,3,119415.0,12.0
44995,2018.0,4,42500.0,3.0
16995,2015.0,4,28624.0,6.0
24995,2014.0,4,71665.0,7.0
12300,2011.0,3,92317.0,10.0
14900,2017.0,3,76000.0,4.0
19500,2019.0,4,30152.0,2.0
22995,2016.0,4,14822.0,5.0
17995,2015.0,4,75369.0,6.0
44995,2017.0,4,94201.0,4.0
24995,2016.0,4,42422.0,5.0
33995,2015.0,4,74702.0,6.0
37995,2015.0,4,98043.0,6.0
24995,2017.0,4,45318.0,4.0
23995,2018.0,4,17801.0,3.0
14995,2018.0,4,27751.0,3.0
28995,2017.0,4,33974.0,4.0
16995,2010.0,3,92057.0,11.0
39995,2016.0,4,77052.0,5.0
44995,2019.0,4,21969.0,2.0
17995,2014.0,4,35563.0,7.0
18999,2013.0,3,81608.0,8.0
24999,2016.0,3,54987.0,5.0
34999,2014.0,3,47615.0,7.0
18999,2018.0,3,18500.0,3.0
44999,2015.0,3,62052.0,6.0
10999,2003.0,2,291341.0,18.0
39600,2016.0,3,55563.0,5.0
15950,2018.0,3,125468.0,3.0
25999,2017.0,3,66022.0,4.0
25999,2016.0,3,105055.0,5.0
15999,2015.0,2,54484.0,6.0
29600,2015.0,3,66366.0,6.0
19950,2017.0,3,70846.0,4.0
24995,2019.0,3,1153.0,2.0
29995,2019.0,3,17808.0,2.0
5300,2005.0,2,108000.0,16.0
29500,2015.0,3,118357.0,6.0
35999,2014.0,3,78733.0,7.0
14999,2018.0,3,22755.0,3.0
17999,2011.0,2,98845.0,10.0
23999,2017.0,4,42056.0,4.0
21999,2015.0,3,34024.0,6.0
24999,2017.0,3,47242.0,4.0
25999,2017.0,3,46699.0,4.0
15000,1972.0,2,80000.0,49.0
15999,2018.0,3,58600.0,3.0
20900,2019.0,3,28919.0,2.0
41500,2020.0,3,9864.0,1.0
11500,2013.0,3,133208.0,8.0
65995,2019.0,3,9744.0,2.0
59995,2018.0,3,23985.0,3.0
54995,2021.0,3,3240.0,0.0
24995,2019.0,3,10373.0,2.0
52995,2019.0,3,21082.0,2.0
31999,2019.0,4,32933.0,2.0
13999,2017.0,3,40312.0,4.0
27999,2013.0,3,63629.0,8.0
32999,2014.0,4,102000.0,7.0
18999,2015.0,3,66566.0,6.0
11999,2008.0,3,101550.0,13.0
39995,2017.0,4,98899.0,4.0
14995,2016.0,4,52377.0,5.0
49995,2015.0,4,12900.0,6.0
6200,2011.0,3,147000.0,10.0
16425,2019.0,3,18015.0,2.0
25995,2014.0,3,43389.0,7.0
48995,2014.0,3,46148.0,7.0
26995,2016.0,3,49815.0,5.0
12995,2015.0,3,93496.0,6.0
23995,2019.0,3,28057.0,2.0
25995,2017.0,3,24703.0,4.0
42995,2016.0,3,104546.0,5.0
36995,2020.0,3,33809.0,1.0
55995,2019.0,3,43881.0,2.0
74995,2017.0,3,39616.0,4.0
19995,2014.0,3,47520.0,7.0
12500,2012.0,3,121193.0,9.0
12900,2019.0,3,30047.0,2.0
12900,2013.0,3,86232.0,8.0
10500,2014.0,3,89706.0,7.0
27995,2017.0,3,55787.0,4.0
33995,2016.0,3,64917.0,5.0
64995,2003.0,3,52580.0,18.0
21995,2019.0,3,13155.0,2.0
52995,2018.0,3,21745.0,3.0
45995,2018.0,3,59453.0,3.0
45995,2020.0,3,8246.0,1.0
41995,2020.0,3,2464.0,1.0
22995,2019.0,3,14789.0,2.0
40995,2018.0,3,15673.0,3.0
23995,2013.0,3,77958.0,8.0
37750,2019.0,3,14660.0,2.0
14995,2016.0,3,28124.0,5.0
27750,2018.0,3,58369.0,3.0
29995,2012.0,3,74469.0,9.0
37995,2020.0,3,28330.0,1.0
37995,2020.0,3,28222.0,1.0
41995,2020.0,3,2275.0,1.0
50995,2017.0,4,70227.0,4.0
8950,2012.0,3,157614.0,9.0
29995,2019.0,3,19129.0,2.0
22995,2015.0,3,34247.0,6.0
22995,2016.0,3,64893.0,5.0
38995,2018.0,3,42157.0,3.0
29995,2014.0,3,39094.0,7.0
25995,2016.0,3,89603.0,5.0
25999,2014.0,2,116773.0,7.0
35999,2015.0,3,54964.0,6.0
27999,2013.0,2,100458.0,8.0
30499,2017.0,2,18910.0,4.0
22500,2019.0,3,24842.0,2.0
15999,2018.0,3,40385.0,3.0
29500,2019.0,4,17508.0,2.0
16499,2018.0,3,31108.0,3.0
37999,2017.0,4,26625.0,4.0
17699,2018.0,3,21713.0,3.0
19995,2014.0,3,88514.0,7.0
20500,2017.0,3,64261.0,4.0
17750,2017.0,3,9157.0,4.0
17850,2018.0,3,19146.0,3.0
24995,2017.0,3,44040.0,4.0
17995,2016.0,3,67594.0,5.0
18995,2018.0,3,24663.0,3.0
37995,2020.0,3,19120.0,1.0
34995,2017.0,3,72239.0,4.0
32995,2016.0,3,11523.0,5.0
32995,2017.0,3,49042.0,4.0
54995,2018.0,3,18681.0,3.0
29995,2017.0,4,49402.0,4.0
29995,2015.0,4,81254.0,6.0
34995,2015.0,4,87132.0,6.0
14995,2014.0,4,65812.0,7.0
36995,2014.0,4,130302.0,7.0
34995,2014.0,4,61100.0,7.0
31995,2013.0,4,64883.0,8.0
9995,2012.0,4,51703.0,9.0
16995,2003.0,3,155477.0,18.0
14995,2001.0,4,77075.0,20.0
34999,2014.0,3,45082.0,7.0
28995,2017.0,3,26505.0,4.0
56995,2018.0,3,33658.0,3.0
27995,2019.0,3,52003.0,2.0
30995,2019.0,3,39146.0,2.0
22995,2016.0,3,43960.0,5.0
50995,2019.0,3,5264.0,2.0
37995,2019.0,3,9776.0,2.0
29995,2019.0,3,17168.0,2.0
46999,2019.0,4,30063.0,2.0
9699,2011.0,2,108029.0,10.0
18995,2014.0,4,54157.0,7.0
11500,1996.0,3,112544.0,25.0
15995,2015.0,3,36055.0,6.0
55995,2019.0,3,4806.0,2.0
25995,2018.0,3,6377.0,3.0
52995,2020.0,3,8074.0,1.0
19995,2017.0,3,31327.0,4.0
18995,2017.0,3,42036.0,4.0
48995,2019.0,3,19449.0,2.0
52995,2016.0,3,53739.0,5.0
9995,2013.0,3,83598.0,8.0
25995,2015.0,3,40968.0,6.0
22995,2019.0,3,32876.0,2.0
